Item ID,Category,Brand,Price,Color,Size,Target Customer,Description
ITEM001,Sweater,Levi's,106.91,Black,S,New Employee,A stylish black sweater from Levi's suitable for new employees.
ITEM002,Bag,Zara,241.95,Brown,L,College Student,A stylish brown bag from Zara suitable for college students.
ITEM003,Shorts,H&M,128.32,Brown,XXL,New Employee,A stylish brown shorts from H&M suitable for new employees.
ITEM004,Jacket,Nike,333.6,Yellow,XL,College Student,A stylish yellow jacket from Nike suitable for college students.
ITEM005,Bag,Nike,203.42,Pink,XL,College Student,A stylish pink bag from Nike suitable for college students.
ITEM006,Dress,Adidas,319.28,Yellow,XL,Executive,A stylish yellow dress from Adidas suitable for executives.
ITEM007,Shoes,Prada,133.74,Green,XXL,New Employee,A stylish green shoes from Prada suitable for new employees.
ITEM008,T-shirt,Prada,71.63,Purple,M,Executive,A stylish purple t-shirt from Prada suitable for executives.
ITEM009,Bag,Zara,469.42,Yellow,XS,College Student,A stylish yellow bag from Zara suitable for college students.
ITEM010,Jacket,H&M,349.12,Pink,M,New Employee,A stylish pink jacket from H&M suitable for new employees.
ITEM011,Hat,Puma,66.74,Gray,L,New Employee,A stylish gray hat from Puma suitable for new employees.
ITEM012,T-shirt,Uniqlo,293.51,Pink,XS,College Student,A stylish pink t-shirt from Uniqlo suitable for college students.
ITEM013,Bag,Nike,196.88,Yellow,XXL,Executive,A stylish yellow bag from Nike suitable for executives.
ITEM014,Shoes,Uniqlo,106.54,Black,S,New Employee,A stylish black shoes from Uniqlo suitable for new employees.
ITEM015,Skirt,Nike,139.59,Brown,M,College Student,A stylish brown skirt from Nike suitable for college students.
ITEM016,Dress,Uniqlo,383.08,Brown,S,New Employee,A stylish brown dress from Uniqlo suitable for new employees.
ITEM017,Hat,Uniqlo,86.04,Gray,XS,Executive,A stylish gray hat from Uniqlo suitable for executives.
ITEM018,Jeans,Adidas,329.33,Pink,M,New Employee,A stylish pink jeans from Adidas suitable for new employees.
ITEM019,T-shirt,Reebok,238.36,Gray,S,Executive,A stylish gray t-shirt from Reebok suitable for executives.
ITEM020,Jeans,Levi's,443.83,Purple,XXL,College Student,A stylish purple jeans from Levi's suitable for college students.
ITEM021,Bag,Levi's,156.32,Brown,XL,Executive,A stylish brown bag from Levi's suitable for executives.
ITEM022,Shoes,Prada,263.33,Black,XXL,College Student,A stylish black shoes from Prada suitable for college students.
ITEM023,Sweater,Reebok,114.79,Blue,L,College Student,A stylish blue sweater from Reebok suitable for college students.
ITEM024,Jacket,H&M,84.95,Yellow,XL,College Student,A stylish yellow jacket from H&M suitable for college students.
ITEM025,Jacket,Prada,209.1,Yellow,S,Executive,A stylish yellow jacket from Prada suitable for executives.
ITEM026,Bag,Levi's,437.02,Black,XL,New Employee,A stylish black bag from Levi's suitable for new employees.
